# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
害怕,害怕,hài pà,"to be afraid
to be scared",所以银行在门口放石狮子还有让坏人害怕的作用。,所以銀行在門口放石獅子還有讓壞人害怕的作用。,suǒ yǐ yín háng zài mén kǒu fàng shí shī zi hái yǒu ràng huài rén hài pà de zuò yòng,.. so placing stone lions by the bank entrance also has the effect of making bad people afraid.
看起来,看起來,kàn qǐ lái,"seemingly
apparently
looks as if",而且狮子看起来非常厉害，,而且獅子看起來非常厲害，,ér qiě shī zi kàn qǐ lái fēi cháng lì hai,"Furthermore, lions look extremely ferocious, .."
越来越,越來越,yuè lái yuè,more and more,这样银行的钱就会越来越多。这对银行来说是非常好的寓意。,這樣銀行的錢就會越來越多。這對銀行來說是非常好的寓意。,zhè yàng yín háng de qián jiù huì yuè lái yuè duō zhè duì yín háng lái shuō shì fēi cháng hǎo de yù yì,"In this way, the bank will have more and more money. For banks, this is an extremely good metaphorical meaning."
进,進,jìn,"to go forward
to advance
to enter",母狮子闭着嘴意思是银行里的钱只进不出。,母獅子閉著嘴意思是銀行裡的錢只進不出。,mǔ shī zi bì zhe zuǐ yì si shì yín háng lǐ de qián zhǐ jìn bù chū,"The female lion with its mouth closed means that money can only enter the bank, and not leave it."
银行,銀行,yín háng,bank,母狮子闭着嘴意思是银行里的钱只进不出。,母獅子閉著嘴意思是銀行裡的錢只進不出。,mǔ shī zi bì zhe zuǐ yì si shì yín háng lǐ de qián zhǐ jìn bù chū,"The female lion with its mouth closed means that money can only enter the bank, and not leave it."
意思,意思,yì si,meaning,从风水上来看，公狮子张着嘴意思是吃四面八方来的钱；,從風水上來看，公獅子張著嘴意思是吃四面八方來的錢；,cóng fēng shuǐ shang lái kàn gōng shī zi zhāng zhe zuǐ yì si shì chī sì miàn bā fāng lái de qián,"From the perspective of feng shui, the male lion with its mouth open means that it absorbs money from all directions."
嘴,嘴,zuǐ,mouth,一只张着嘴，一只闭着嘴。,一隻張著嘴，一隻閉著嘴。,yì zhī zhāng zhe zuǐ yì zhī bì zhe zuǐ,".. one with its mouth open, one with its mouth shut."
经常,經常,jīng cháng,"frequently
often",在中国，我们经常能看到很多银行门口都放着两只石狮子，,在中國，我們經常能看到很多銀行門口都放著兩隻石獅子，,zài zhōng guó wǒ men jīng cháng néng kàn dào hěn duō yín háng mén kǒu dōu fàng zhe liǎng zhī shí shī zi,"In China, we often are able to see two stone lions placed at the entrance of many banks, .."
眼,眼,yǎn,eyes,她看着窗外，突然眼前一亮！,她看著窗外，突然眼前一亮！,tā kàn zhe chuāng wài tū rán yǎn qián yí liàng,"She looked outside the window, and her eyes suddenly lit up."
窗,窗,chuāng,"window
shutter",她看着窗外，突然眼前一亮！,她看著窗外，突然眼前一亮！,tā kàn zhe chuāng wài tū rán yǎn qián yí liàng,"She looked outside the window, and her eyes suddenly lit up."
外,外,wài,"outside
foreign
external",她看着窗外。,她看著窗外。,tā kàn zhe chuāng wài,She looked outside the window.
丈夫,丈夫,zhàng fu,husband,李可和丈夫张天住在一个很小的房子里，只有一个房间。,李可和丈夫張天住在一個很小的房子裡，只有一個房間。,lǐ kě hé zhàng fu zhāng tiān zhù zài yí ge hěn xiǎo de fáng zi lǐ zhǐ yǒu yí ge fáng jiān,"Li Ke and her husband Zhang Tian lived in a very small apartment, with only one room."
超市,超市,chāo shì,supermarket,她每天都去超市买菜。,她每天都去超市買菜。,tā měi tiān dōu qù chāo shì mǎi cài,She went to the supermarket every day to buy groceries.
礼物,禮物,lǐ wù,"gift
present",礼物（一）,禮物（一）,lǐ wù yī,The Gift of the Magi (Part 1)
跳,跳,tiào,"to jump
to hop",成名跳上跳下，能找的地方都找了，都没有找到蛐蛐。,成名跳上跳下，能找的地方都找了，都沒有找到蛐蛐。,chéng míng tiào shàng tiào xià néng zhǎo de dì fang dōu zhǎo le dōu méi yǒu zhǎo dào qū qū,".. Cheng Ming jumped up and down, looking everywhere he could, but didn’t find a cricket anywhere."
第,第,dì,"(prefix indicating ordinal number, e.g. first, number two etc)",第二天一大早，成名就拿着笼子去捉蛐蛐了。,第二天一大早，成名就拿著籠子去捉蛐蛐了。,dì èr tiān yí dà zǎo chéng míng jiù ná zhe lóng zi qù zhuō qū qū le,"First thing next morning, Cheng Ming took a cage and went to catch a cricket."
睡,睡,shuì,"to sleep
to lie down",成名每天为了蛐蛐的事吃不好，睡不好。他对妻子说：“我真的想死的心都有了。”,成名每天為了蛐蛐的事吃不好，睡不好。他對妻子說：“我真的想死的心都有了。”,chéng míng měi tiān wèi le qū qū de shì chī bù hǎo shuì bù hǎo tā duì qī zi shuō wǒ zhēn de xiǎng sǐ de xīn dōu yǒu le,"Cheng Ming ate and slept badly every day because of the cricket.  He said to his wife, “I really want to die.”"
的,的,de,"(used after an attribute)
~'s (possessive particle)",就花了很多钱，从别的地方买了一只很厉害的蛐蛐送去给皇帝。,就花了很多錢，從別的地方買了一隻很厲害的蛐蛐送去給皇帝。,jiù huā le hěn duō qián cóng bié de dì fang mǎi le yì zhī hěn lì hai de qū qū sòng qù gěi huáng dì,So he spent a lot of money to buy a fierce cricket from somewhere else and give it to the emperor.
送去,送去,sòng qù,"to send
to deliver",很多地方的市长都从自己的地方找来厉害的蛐蛐，送去给皇帝。,很多地方的市長都從自己的地方找來厲害的蛐蛐，送去給皇帝。,hěn duō dì fang de shì zhǎng dōu cóng zì jǐ de dì fang zhǎo lái lì hai de qū qū sòng qù gěi huáng dì,Many mayors would look for fierce crickets from their area to send to the emperor.
变,變,biàn,"to become
to change",他放下刀，走到门外，看着天：明天以后，这个国家会变吗？,他放下刀，走到門外，看著天：明天以後，這個國家會變嗎？,tā fàng xià dāo zǒu dào mén wài kàn zhe tiān míng tiān yǐ hòu zhè ge guó jiā huì biàn ma,"He put down the sword, walked outside, and looked at the sky. Would this country change after tomorrow?"
重,重,zhòng,heavy,突然觉得手上的刀变得很重很重。,突然覺得手上的刀變得很重很重。,tū rán jué de shǒu shang de dāo biàn de hěn zhòng hěn zhòng,"..  and suddenly felt that the sword in his hand had become very, very heavy."
突然,突然,tū rán,"suddenly
abruptly",突然觉得手上的刀变得很重很重。,突然覺得手上的刀變得很重很重。,tū rán jué de shǒu shang de dāo biàn de hěn zhòng hěn zhòng,"..  and suddenly felt that the sword in his hand had become very, very heavy."
声音,聲音,shēng yīn,"sound
voice",曹操坐在房间里，桌子上有一把刀。他好像又听到了大家的声音：,曹操坐在房間裡，桌子上有一把刀。他好像又聽到了大家的聲音：,cáo cāo zuò zài fáng jiān lǐ zhuō zi shang yǒu yì bǎ dāo tā hǎo xiàng yòu tīng dào le dà jiā de shēng yīn,"Cao Cao sat in his room, with the sword on the table. It was as if he could hear everyone’s voices again, .."
放心,放心,fàng xīn,"to feel relieved
to be at ease",“放心吧！为了我们的国家，我会努力的！”,“放心吧！為了我們的國家，我會努力的！”,fàng xīn ba wèi le wǒ men de guó jiā wǒ huì nǔ lì de,.. “Rest assured! I will work very hard for the sake of our country!”
放,放,fàng,"to put
to place",他把刀放在曹操手上，又给了曹操一杯酒，,他把刀放在曹操手上，又給了曹操一杯酒，,tā bǎ dāo fàng zài cáo cāo shǒu shang yòu gěi le cáo cāo yì bēi jiǔ,"He put the sword in Cao Cao’s hand, and also gave Cao Cao a cup of wine."
向,向,xiàng,"towards
to face",曹操看向高运，“听说您有一把好刀，能不能给我呢？”,曹操看向高運，“聽說您有一把好刀，能不能給我呢？”,cáo cāo kàn xiàng gāo yùn tīng shuō nín yǒu yì bǎ hǎo dāo néng bù néng gěi wǒ ne,"Cao Cao looked at Gao Yun, “I’ve heard that you have a good sword. Can you give it to me?”"
找到,找到,zhǎo dào,to find,“我现在每天都在董卓身边工作，一定可以找到机会杀他。”,“我現在每天都在董卓身邊工作，一定可以找到機會殺他。”,wǒ xiàn zài měi tiān dōu zài dǒng zhuó shēn biān gōng zuò yí dìng kě yǐ zhǎo dào jī huì shā tā,"“Right now, I am working at Dong Zhuo’s side every day, and can definitely find an opportunity to kill him.”"
起来,起來,qi lai,"(after a verb, indicating an upward movement, e.g. after 站)",曹操喝了一杯酒，站起来说道，“我愿意去杀董卓！”,曹操喝了一杯酒，站起來說道，“我願意去殺董卓！”,cáo cāo hē le yì bēi jiǔ zhàn qi lai shuō dào wǒ yuàn yì qù shā dǒng zhuó,"Cao Cao drank a cup of wine, stood up, and said, “I’m willing to kill Dong Zhuo!”"
得,得,dé,"to obtain
to get",曹操得刀,曹操得刀,cáo cāo dé dāo,Cao Cao Gets a Sword
难过,難過,nán guò,"to feel sad
to feel unwell
(of life) to be difficult",高运很难过地一边喝酒，一边说道。他的朋友们都和高运一起哭。,高運很難過地一邊喝酒，一邊說道。他的朋友們都和高運一起哭。,gāo yùn hěn nán guò de yì biān hē jiǔ yì biān shuō dào tā de péng you men dōu hé gāo yùn yì qǐ kū,Gao Yun unhappily drank while saying this. All his friends cried together with Gao Yun.
小声,小聲,xiǎo shēng,"in a low voice
(speak) in whispers",坐在高运身边的朋友让高运坐下，小声地说道：,坐在高運身邊的朋友讓高運坐下，小聲地說道：,zuò zài gāo yùn shēn biān de péng you ràng gāo yùn zuò xia xiǎo shēng de shuō dào,"A friend sitting next to Gao Yun made Gao Yun sit down, and whispered, .."
坐,坐,zuò,to sit,坐在高运身边的朋友让高运坐下，小声地说道：,坐在高運身邊的朋友讓高運坐下，小聲地說道：,zuò zài gāo yùn shēn biān de péng you ràng gāo yùn zuò xia xiǎo shēng de shuō dào,"A friend sitting next to Gao Yun made Gao Yun sit down, and whispered, .."
听见,聽見,tīng jiàn,to hear,“你小声点！被董卓听见，你就完了！”,“你小聲點！被董卓聽見，你就完了！”,nǐ xiǎo shēng diǎn bèi dǒng zhuó tīng jiàn nǐ jiù wán le,“Lower your voice! You’re finished if Dong Zhuo hears about this!”
站,站,zhàn,to stand,高运看到大家都不喜欢董卓，就站起来，大声地说道：,高運看到大家都不喜歡董卓，就站起來，大聲地說道：,gāo yùn kàn dào dà jiā dōu bù xǐ huan dǒng zhuó jiù zhàn qi lai dà shēng de shuō dào,"Gao Yun saw that everyone disliked Dong Zhuo, so he stood up and said loudly, .."
自己,自己,zì jǐ,oneself,但是，董卓做的那些事情，都不是为了国家，都是为了他自己！”高运的一个朋友很生气地说道。,但是，董卓做的那些事情，都不是為了國家，都是為了他自己！”高運的一個朋友很生氣地說道。,dàn shì dǒng zhuó zuò de nà xiē shì qing dōu bú shì wèi le guó jiā dōu shì wèi le tā zì jǐ gāo yùn de yí ge péng you hěn shēng qì de shuō dào,"But nothing that Dong Zhuo does is for the country, it is all for himself!” said a friend of Gao Yun very angrily."
为了,為了,wèi le,"in order to
for the purpose of",但是，董卓做的那些事情，都不是为了国家，都是为了他自己！”高运的一个朋友很生气地说道。,但是，董卓做的那些事情，都不是為了國家，都是為了他自己！”高運的一個朋友很生氣地說道。,dàn shì dǒng zhuó zuò de nà xiē shì qing dōu bú shì wèi le guó jiā dōu shì wèi le tā zì jǐ gāo yùn de yí ge péng you hěn shēng qì de shuō dào,"But nothing that Dong Zhuo does is for the country, it is all for himself!” said a friend of Gao Yun very angrily."
怎么了,怎麼了,zěn me le,"What's up?
What happened?",大家忙问道：“你怎么了？大家现在那么快乐，你为什么要哭呢？”,大家忙問道：“你怎麼了？大家現在那麼快樂，你為什麼要哭呢？”,dà jiā máng wèn dào nǐ zěn me le dà jiā xiàn zài nà me kuài lè nǐ wèi shén me yào kū ne,"Everyone hurriedly asked, “What’s up with you? We’re all so happy right now, why are you crying?”"
重要,重要,zhòng yào,important,高运是皇帝身边非常重要的人，,高運是皇帝身邊非常重要的人，,gāo yùn shì huáng dì shēn biān fēi cháng zhòng yào de rén,Gao Yun was a very important person close to the emperor.
着,著,zhe,(aspect particle indicating action in progress),他看着刀，想到今天在高运家，大家对他说的话，,他看著刀，想到今天在高運家，大家對他說的話，,tā kàn zhe dāo xiǎng dào jīn tiān zài gāo yùn jiā dà jiā duì tā shuō de huà,"He looked at the sword, thought about what everyone had said to him today at Gao Yun’s house, .."
杀,殺,shā,"to kill
to murder",他手里拿着刀，好像听到一个声音在说：“请您一定要杀了他！”……,他手裡拿著刀，好像聽到一個聲音在說：“請您一定要殺了他！”……,tā shǒu lǐ ná zhe dāo hǎo xiàng tīng dào yí ge shēng yīn zài shuō qǐng nín yí dìng yào shā le tā,"He held a sword in his hand, as if he heard a voice that said, “You must kill him!” …"
拿,拿,ná,"to hold
to take",他手里拿着刀，好像听到一个声音在说：“请您一定要杀了他！”……,他手裡拿著刀，好像聽到一個聲音在說：“請您一定要殺了他！”……,tā shǒu lǐ ná zhe dāo hǎo xiàng tīng dào yí ge shēng yīn zài shuō qǐng nín yí dìng yào shā le tā,"He held a sword in his hand, as if he heard a voice that said, “You must kill him!” …"
电影,電影,diàn yǐng,"movie
film",下午，大星说：“我的手机在哪儿？我要看电影。”。,下午，大星說：“我的手機在哪兒？我要看電影。”。,xià wǔ dà xīng shuō wǒ de shǒu jī zài nǎ'r wǒ yào kàn diàn yǐng,"In the afternoons, Daxing says, “Where is my phone? I want to watch a movie.” "
疼,疼,téng,"(it) hurts
sore",他疼得大叫。这件事，在那个小城市，大家都知道。,他疼得大叫。這件事，在那個小城市，大家都知道。,tā téng de dà jiào zhè jiàn shì zài nà ge xiǎo chéng shì dà jiā dōu zhī dào,"He screamed from the pain. In this small city, everyone knew about this."
热,熱,rè,hot,帮他拿鼻子的人的手动了一下，他的鼻子掉到了热饭里。,幫他拿鼻子的人的手動了一下，他的鼻子掉到了熱飯裡。,bāng tā ná bí zi de rén de shǒu dòng le yí xià tā de bí zi diào dào le rè fàn lǐ,"The hand of the person that was holding his nose moved, and his nose fell into the hot food."
帮,幫,bāng,"to help
to assist",所以他吃饭的时候，会让人帮他拿着鼻子，这样他的鼻子就不会掉到饭里了。,所以他吃飯的時候，會讓人幫他拿著鼻子，這樣他的鼻子就不會掉到飯裡了。,suǒ yǐ tā chī fàn de shí hou huì ràng rén bāng tā ná zhe bí zi zhè yàng tā de bí zi jiù bú huì diào dào fàn lǐ le,"So when he ate, he would get someone to help him hold his nose, this way his nose wouldn’t fall into his food."
鼻子,鼻子,bí zi,nose,张老师最怕的一件事就是别人在说话的时候，说到“鼻子”。,張老師最怕的一件事就是別人在說話的時候，說到“鼻子”。,zhāng lǎo shī zuì pà de yí jiàn shì jiù shì bié ren zài shuō huà de shí hou shuō dào bí zi,"The thing Teacher Zhang was most afraid of is that when other people talked, they would mention “nose”."
城市,城市,chéng shì,"city
town",张汉是一个小城市的老师，他有很多学生。,張漢是一個小城市的老師，他有很多學生。,zhāng hàn shì yí ge xiǎo chéng shì de lǎo shī tā yǒu hěn duō xué sheng,Zhang Han was a teacher in a small city who has a lot of students.
穿上,穿上,chuān shang,to put on (clothes etc),因为每到那个时候，他就会穿上他最好的衣服，,因為每到那個時候，他就會穿上他最好的衣服，,yīn wèi měi dào nà ge shí hou tā jiù huì chuān shang tā zuì hǎo de yī fu,"Because every time that happened, he would put on his best clothes, .."
到,到,dào,to arrive,因为每到那个时候，他就会穿上他最好的衣服，,因為每到那個時候，他就會穿上他最好的衣服，,yīn wèi měi dào nà ge shí hou tā jiù huì chuān shang tā zuì hǎo de yī fu,"Because every time that happened, he would put on his best clothes, .."
最,最,zuì,the most,等到有两千块钱的时候，就是他最快乐的时候。,等到有兩千塊錢的時候，就是他最快樂的時候。,děng dào yǒu liǎng qiān kuài qián de shí hou jiù shì tā zuì kuài lè de shí hou,"By the time he had 2000 yuan, that’s when he was happiest."
用,用,yòng,to use,他喜欢每个月用两千八百块钱吃饭，还有两百块钱，他不用。,他喜歡每個月用兩千八百塊錢吃飯，還有兩百塊錢，他不用。,tā xǐ huan měi ge yuè yòng liǎng qiān bā bǎi kuài qián chī fàn hái yǒu liǎng bǎi kuài qián tā bú yòng,"He liked to eat for 2800 every month. The additional 200 yuan, he didn’t spend."
可能,可能,kě néng,"possible
probable",米一天在教室里学习，可能因为天气不好，教室里就他一个人。,米一天在教室裡學習，可能因為天氣不好，教室裡就他一個人。,mǐ yì tiān zài jiào shì lǐ xué xí kě néng yīn wèi tiān qì bù hǎo jiào shì lǐ jiù tā yí ge rén,"Mi Yitian was studying in a classroom. Maybe because the weather was bad, he was the only person in the classroom."
冷,冷,lěng,"cold
cold in manner; frosty",今天下雨，有点儿冷。,今天下雨，有點兒冷。,jīn tiān xià yǔ yǒu diǎn'r lěng,"It was a rainy day, and it was a little bit cold."
些,些,xiē,"some (short for 一些)
a few",也知道了一些不好的事，有些人过得很不好。,也知道了一些不好的事，有些人過得很不好。,yě zhī dào le yì xiē bù hǎo de shì yǒu xiē rén guò dé hěn bù hǎo,"He also found out about some bad things, that some people had very hard lives."
希望,希望,xī wàng,"to wish for
to desire
hope",哪儿有希望？,哪兒有希望？,nǎ'r yǒu xī wàng,Where’s the Hope? 
正在,正在,zhèng zài,in the process of (doing something or happening),现在我没有工作。我正在找新工作。,現在我沒有工作。我正在找新工作。,xiàn zài wǒ méi yǒu gōng zuò wǒ zhèng zài zhǎo xīn gōng zuò,I have no job right now. I am looking for a new job.
妻子,妻子,qī zi,wife,我家住着两个人，我和妻子。你看，正在看电视的那个人，就是我的妻子。,我家住著兩個人，我和妻子。你看，正在看電視的那個人，就是我的妻子。,wǒ jiā zhù zhe liǎng ge rén wǒ hé qī zi nǐ kàn zhèng zài kàn diàn shì de nà ge rén jiù shì wǒ de qī zi,"Two people live in my home—my wife and me. Look, that person who is watching TV is my wife."
姓,姓,xìng,"family name
surname
to be surnamed",你好，我姓白，叫白欢，今年四十岁，住在北京。,你好，我姓白，叫白歡，今年四十歲，住在北京。,nǐ hǎo wǒ xìng bái jiào bái huān jīn nián sì shí suì zhù zài běi jīng,"Hello, my surname is Bai, and my name is Bai Huan. I am 40 years old and live in Beijing."
从,從,cóng,from,晚上，小天从学校回来，看到饭和菜在桌子上，但妈妈不在家。,晚上，小天從學校回來，看到飯和菜在桌子上，但媽媽不在家。,wǎn shang xiǎo tiān cóng xué xiào huí lái kàn dào fàn hé cài zài zhuō zi shang dàn mā ma bú zài jiā,"In the evening, Little Tian came back from school and saw food on the table. However, Mom was not at home."
快乐,快樂,kuài lè,"happy
merry",爸爸妈妈都很爱小天，一家人很快乐。,爸爸媽媽都很愛小天，一家人很快樂。,bà ba mā ma dōu hěn ài xiǎo tiān yì jiā rén hěn kuài lè,Dad and Mom both really loved Little Tian. They were a happy family.
学习,學習,xué xí,"to learn
to study",他们是同学，也是室友。他们常常一起上课，一起学习，一起吃饭。,他們是同學，也是室友。他們常常一起上課，一起學習，一起吃飯。,tā men shì tóng xué yě shì shì yǒu tā men cháng cháng yì qǐ shàng kè yì qǐ xué xí yì qǐ chī fàn,"They were classmates and also roommates. They often attended classes together, studied together, and ate together."
常常,常常,cháng cháng,"frequently
often",他们是同学，也是室友。他们常常一起上课，一起学习，一起吃饭。,他們是同學，也是室友。他們常常一起上課，一起學習，一起吃飯。,tā men shì tóng xué yě shì shì yǒu tā men cháng cháng yì qǐ shàng kè yì qǐ xué xí yì qǐ chī fàn,"They were classmates and also roommates. They often attended classes together, studied together, and ate together."
室友,室友,shì yǒu,roommate,他们是同学，也是室友。他们常常一起上课，一起学习，一起吃饭。,他們是同學，也是室友。他們常常一起上課，一起學習，一起吃飯。,tā men shì tóng xué yě shì shì yǒu tā men cháng cháng yì qǐ shàng kè yì qǐ xué xí yì qǐ chī fàn,"They were classmates and also roommates. They often attended classes together, studied together, and ate together."
想起,想起,xiǎng qǐ,"to recall
to think of
to call to mind",路大朋想起了他的好朋友，他的好朋友叫高子明。,路大朋想起了他的好朋友，他的好朋友叫高子明。,lù dà péng xiǎng qǐ le tā de hǎo péng you tā de hǎo péng you jiào gāo zǐ míng,Lu Dapeng remembered his good friend. His good friend’s name was Gao Ziming.
一点儿,一點兒,yì diǎn'r,"a bit
a little",他想住得离公司近一点儿，但是公司那儿的房子太贵了。,他想住得離公司近一點兒，但是公司那兒的房子太貴了。,tā xiǎng zhù de lí gōng sī jìn yì diǎn'r dàn shì gōng sī nà'r de fáng zi tài guì le,"He wanted to live closer to the office, but the apartments where his office was were too expensive."
房子,房子,fáng zi,"apartment
house",北京的房子很贵，路大朋没有钱，,北京的房子很貴，路大朋沒有錢，,běi jīng de fáng zi hěn guì lù dà péng méi yǒu qián,"Apartments in Beijing are very expensive, and Lu Dapeng had no money."
过,過,guò,"to go over
to pass (time)",过了几天，小明爸爸下班回来，,過了幾天，小明爸爸下班回來，,guò le jǐ tiān xiǎo míng bà ba xià bān huí lái,"A few days later, Little Ming’s dad came back from work."
觉得,覺得,jué de,"to think
to feel",于是，他说：“我觉得蓝色的好看！”,於是，他說：“我覺得藍色的好看！”,yú shì tā shuō wǒ jué de lán sè de hǎo kàn,"And so, he said: “I think blue looks nice!”"
于是,於是,yú shì,"as a result
consequently",于是，他说：“我觉得蓝色的好看！”,於是，他說：“我覺得藍色的好看！”,yú shì tā shuō wǒ jué de lán sè de hǎo kàn,"And so, he said: “I think blue looks nice!”"
真,真,zhēn,"really
truly",小明爸爸看见了，心想：“老婆真好！给我织毛衣！”,小明爸爸看見了，心想：“老婆真好！給我織毛衣！”,xiǎo míng bà ba kàn jiàn le xīn xiǎng lǎo po zhēn hǎo gěi wǒ zhī máo yī,Little Ming’s dad noticed this and thought to himself: “My wife is really great! She’s knitting a sweater for me!”
写,寫,xiě,to write,服务员：哎呀，我写给你吧！,服務員：哎呀，我寫給你吧！,fú wù yuán āi yā wǒ xiě gěi nǐ ba,"Waiter: Ugh, I'll write it down for you!"
就,就,jiù,just (emphasis),服务员：就是66666666。,服務員：就是66666666。,fú wù yuán jiù shì 66666666,Waiter: It's 66666666.
密码,密碼,mì mǎ,"code
password",本：密码是多少？,本：密碼是多少？,běn mì mǎ shì duō shao,Ben: What's the password?
这儿,這兒,zhè‘r,here,本：您好，你们这儿有Wi-Fi吗？,本：您好，你們這兒有Wi-Fi嗎？,běn nín hǎo nǐ men zhè‘r yǒu Wi-Fi ma,"Ben: Hello, do you have Wi-Fi here?"
谁,誰,shéi,who,丽丽：你喜欢听谁的歌？,麗麗：你喜歡聽誰的歌？,lì lì nǐ xǐ huan tīng shéi de gē,Lili: Whose songs do you like to listen to?
歌,歌,gē,song,你喜欢听中文歌吗？,你喜歡聽中文歌嗎？,nǐ xǐ huan tīng zhōng wén gē ma,Do you like to listen to Chinese songs?
给,給,gěi,to give,爸爸给妈妈一杯水，说：“你现在去学校，好好上课。我在家里等你，好不好？”,爸爸給媽媽一杯水，說：“你現在去學校，好好上課。我在家裡等你，好不好？”,bà ba gěi mā ma yì bēi shuǐ shuō nǐ xiàn zài qù xué xiào hǎo hǎo shàng kè wǒ zài jiā lǐ děng nǐ hǎo bù hǎo,"Dad gave Mom a glass of water and said, “You go to school now and have a good class. I’ll wait for you at home, okay? ”"
漂亮,漂亮,piào liang,"pretty
beautiful
good-looking",你看，这是我的家。我的家在日本，这里很漂亮。,你看，這是我的家。我的家在日本，這裡很漂亮。,nǐ kàn zhè shì wǒ de jiā wǒ de jiā zài rì běn zhè lǐ hěn piào liang,"Look, this is my home. My home is in Japan. It’s very beautiful here."
路上,路上,lù shang,"on the road
on a journey",妈妈：嗯，是啊。路上小心啊！,媽媽：嗯，是啊。路上小心啊！,mā ma èn shì a lù shang xiǎo xīn a,"Mom: Yes, that would be best. Be careful on the road!"
吧,吧,ba,"(modal particle indicating suggestion or surmise)
...OK?",小何：这样啊，那我还是带伞去吧。,小何：這樣啊，那我還是帶傘去吧。,xiǎo hé zhè yàng a nà wǒ hái shi dài sǎn qù ba,Little He: I see. Then I better bring an umbrella with me.
等,等,děng,"to wait for
to await",不知道等会儿还会不会下。,不知道等會兒還會不會下。,bù zhī dào děng huì'r hái huì bú huì xià,I don’t know if it will start to rain again soon or not.
啊,啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",妈妈：啊，天气啊。今天早上雨下得很大，但是现在雨停了。,媽媽：啊，天氣啊。今天早上雨下得很大，但是現在雨停了。,mā ma a tiān qì a jīn tiān zǎo shang yǔ xià de hěn dà dàn shì xiàn zài yǔ tíng le,"Mom: Ah, the weather. This morning it rained a lot, but it stopped raining now."
停,停,tíng,"to stop
to halt",雨停了,雨停了,yǔ tíng le,It Stopped Raining
怎么样,怎麼樣,zěn me yàng,"how
how about
what",Anne：我们看《她们》，怎么样？,Anne：我們看《她們》，怎麼樣？,Anne： wǒ men kàn tā men zěn me yàng,Anne: How about we watch “Elles”?
课,課,kè,"class
lesson",Li：我同学没有来。他下午有课，他去上课了。,Li：我同學沒有來。他下午有課，他去上課了。,Li： wǒ tóng xué méi yǒu lái tā xià wǔ yǒu kè tā qù shàng kè le,Li: My classmate didn’t come. He has class this afternoon. He has gone to class.
同学,同學,tóng xué,"fellow student
classmate
a form of address used when speaking to a student",Anne：你同学呢？他在哪儿？,Anne：你同學呢？他在哪兒？,Anne： nǐ tóng xué ne tā zài nǎ'r,Anne: What about your classmate? Where is he?
没关系,沒關係,méi guān xi,"it doesn't matter
never mind",Li：Anne，没关系。,Li：Anne，沒關係。,Li： Anne， méi guān xi,"Li: No worries, Anne."
孩子,孩子,hái zi,child,孩子们会为母亲准备礼物。,孩子們會為母親準備禮物。,hái zi men huì wèi mǔ qīn zhǔn bèi lǐ wù,Children will prepare gifts for their mothers.
节日,節日,jié rì,"holiday
festival",对中国人来说，母亲节是一个比较年轻的节日。,對中國人來說，母親節是一個比較年輕的節日。,duì zhōng guó rén lái shuō mǔ qīn jié shì yí ge bǐ jiào nián qīng de jié rì,"For Chinese people, Mother’s Day is a relatively young festival."
比较,比較,bǐ jiào,"comparatively
relatively",对中国人来说，母亲节是一个比较年轻的节日。,對中國人來說，母親節是一個比較年輕的節日。,duì zhōng guó rén lái shuō mǔ qīn jié shì yí ge bǐ jiào nián qīng de jié rì,"For Chinese people, Mother’s Day is a relatively young festival."
怎么办,怎麼辦,zěn me bàn,"what to do
what should we do",老板说：“对不起，小朋友，康乃馨卖完了。”我很难过，不知道怎么办。,老闆說：“對不起，小朋友，康乃馨賣完了。”我很難過，不知道怎麼辦。,lǎo bǎn shuō duì bu qǐ xiǎo péng you kāng nǎi xīn mài wán le wǒ hěn nán guò bù zhī dào zěn me bàn,"The shop owner said: “I’m sorry, child. We have sold out of carnations.” I was very sad and didn’t know what to do."
会,會,huì,"can
to be able to",小鱼是红色的，它看着小米，好像会说话：“我喜欢你，我能和你回家吗？”,小魚是紅色的，它看著小米，好像會說話：“我喜歡你，我能和你回家嗎？”,xiǎo yú shì hóng sè de tā kàn zhe xiǎo mǐ hǎo xiàng huì shuō huà wǒ xǐ huan nǐ wǒ néng hé nǐ huí jiā ma,The little fish was red. It looked at Little Mi as if it could speak: “I like you. Can I go home with you?”
好像,好像,hǎo xiàng,"as if
to seem like",小鱼是红色的，它看着小米，好像会说话：“我喜欢你，我能和你回家吗？”,小魚是紅色的，它看著小米，好像會說話：“我喜歡你，我能和你回家嗎？”,xiǎo yú shì hóng sè de tā kàn zhe xiǎo mǐ hǎo xiàng huì shuō huà wǒ xǐ huan nǐ wǒ néng hé nǐ huí jiā ma,The little fish was red. It looked at Little Mi as if it could speak: “I like you. Can I go home with you?”
它,它,tā,it,小鱼是红色的，它看着小米，好像会说话：“我喜欢你，我能和你回家吗？”,小魚是紅色的，它看著小米，好像會說話：“我喜歡你，我能和你回家嗎？”,xiǎo yú shì hóng sè de tā kàn zhe xiǎo mǐ hǎo xiàng huì shuō huà wǒ xǐ huan nǐ wǒ néng hé nǐ huí jiā ma,The little fish was red. It looked at Little Mi as if it could speak: “I like you. Can I go home with you?”
